Customer,Occuspace
Date Range,05/01/2023 - 05/01/2024
Hour Range,6 - 23
Days of the Week,Sun - Sat
Time Interval,30min

Location,Timestamp,Date,Day of Week,Week of Year,Time,Hour of Day,Average Occupancy,Average Utilization,Peak Occupancy,Peak Utilization,Capacity,Location Path
Lower Exercise Room,05/16/2023 12:30,5/16/2023,3,20,12:30:00 PM,12,66,0.78,79,0.93,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 13:00,5/16/2023,3,20,1:00:00 PM,13,62,0.73,71,0.84,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 13:30,5/16/2023,3,20,1:30:00 PM,13,57,0.67,64,0.75,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 14:00,5/16/2023,3,20,2:00:00 PM,14,67,0.79,80,0.94,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 14:30,5/16/2023,3,20,2:30:00 PM,14,64,0.75,82,0.96,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 15:00,5/16/2023,3,20,3:00:00 PM,15,67,0.79,71,0.84,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 15:30,5/16/2023,3,20,3:30:00 PM,15,74,0.87,82,0.96,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 16:00,5/16/2023,3,20,4:00:00 PM,16,73,0.86,92,1.08,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 16:30,5/16/2023,3,20,4:30:00 PM,16,89,1.05,98,1.15,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 17:00,5/16/2023,3,20,5:00:00 PM,17,78,0.92,89,1.05,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 17:30,5/16/2023,3,20,5:30:00 PM,17,69,0.81,86,1.01,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 18:00,5/16/2023,3,20,6:00:00 PM,18,69,0.81,74,0.87,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 18:30,5/16/2023,3,20,6:30:00 PM,18,78,0.92,84,0.99,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 19:00,5/16/2023,3,20,7:00:00 PM,19,76,0.89,85,1.00,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 19:30,5/16/2023,3,20,7:30:00 PM,19,59,0.69,73,0.86,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 20:00,5/16/2023,3,20,8:00:00 PM,20,45,0.53,57,0.67,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 20:30,5/16/2023,3,20,8:30:00 PM,20,65,0.76,71,0.84,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 21:00,5/16/2023,3,20,9:00:00 PM,21,72,0.85,86,1.01,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 21:30,5/16/2023,3,20,9:30:00 PM,21,81,0.95,96,1.13,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 22:00,5/16/2023,3,20,10:00:00 PM,22,74,0.87,84,0.99,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 22:30,5/16/2023,3,20,10:30:00 PM,22,64,0.75,79,0.93,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 23:00,5/16/2023,3,20,11:00:00 PM,23,40,0.47,57,0.67,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 23:30,5/16/2023,3,20,11:30:00 PM,23,20,0.24,28,0.33,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/17/2023 6:00,5/17/2023,4,20,6:00:00 AM,6,21,0.25,30,0.35,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/17/2023 6:30,5/17/2023,4,20,6:30:00 AM,6,32,0.38,36,0.42,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/17/2023 7:00,5/17/2023,4,20,7:00:00 AM,7,38,0.45,42,0.49,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/17/2023 7:30,5/17/2023,4,20,7:30:00 AM,7,33,0.39,40,0.47,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/17/2023 8:00,5/17/2023,4,20,8:00:00 AM,8,33,0.39,46,0.54,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
